state_id,name,census_id
1,"Florence-Muscle Shoals, AL",22520
1,"Huntsville, AL",26620
1,"Dothan, AL",20020
1,"Auburn-Opelika, AL",12220
1,"Mobile, AL",33660
1,"Anniston-Oxford, AL",11500
1,"Tuscaloosa, AL",46220
1,"Birmingham-Hoover, AL",13820
1,"Decatur, AL",19460
1,"Montgomery, AL",33860
1,"Gadsden, AL",23460
2,"Fairbanks, AK",21820
2,"Anchorage, AK",11260
4,"Phoenix-Mesa-Glendale, AZ",38060
4,"Yuma, AZ",49740
4,"Flagstaff, AZ",22380
4,"Lake Havasu City-Kingman, AZ",29420
4,"Prescott, AZ",39140
4,"Tucson, AZ",46060
5,"Jonesboro, AR",27860
5,"Pine Bluff, AR",38220
5,"Hot Springs, AR",26300
5,"Fayetteville-Springdale-Rogers, AR-MO",22220
5,"Fort Smith, AR-OK",22900
5,"Little Rock-North Little Rock-Conway, AR",30780
6,"Visalia-Porterville, CA",47300
6,"El Centro, CA",20940
6,"Madera-Chowchilla, CA",31460
6,"Modesto, CA",33700
6,"Yuba City, CA",49700
6,"Bakersfield-Delano, CA",12540
6,"Chico, CA",17020
6,"Napa, CA",34900
6,"San Luis Obispo-Paso Robles, CA",42020
6,"Los Angeles-Long Beach-Santa Ana, CA",31100
6,"Salinas, CA",41500
6,"Sacramento--Arden-Arcade--Roseville, CA",40900
6,"Stockton, CA",44700
6,"Merced, CA",32900
6,"San Diego-Carlsbad-San Marcos, CA",41740
6,"Hanford-Corcoran, CA",25260
6,"Riverside-San Bernardino-Ontario, CA",40140
6,"Vallejo-Fairfield, CA",46700
6,"Fresno, CA",23420
6,"San Francisco-Oakland-Fremont, CA",41860
6,"San Jose-Sunnyvale-Santa Clara, CA",41940
6,"Santa Barbara-Santa Maria-Goleta, CA",42060
6,"Oxnard-Thousand Oaks-Ventura, CA",37100
6,"Santa Cruz-Watsonville, CA",42100
6,"Santa Rosa-Petaluma, CA",42220
6,"Redding, CA",39820
8,"Greeley, CO",24540
8,"Pueblo, CO",39380
8,"Grand Junction, CO",24300
8,"Fort Collins-Loveland, CO",22660
8,"Denver-Aurora-Broomfield, CO",19740
8,"Boulder, CO",14500
8,"Colorado Springs, CO",17820
9,"Norwich-New London, CT",35980
9,"Hartford-West Hartford-East Hartford, CT",25540
9,"New Haven-Milford, CT",35300
9,"Bridgeport-Stamford-Norwalk, CT",14860
10,"Dover, DE",20100
11,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900
12,"Tallahassee, FL",45220
